#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-09-13 21:24:49 EDT      (vaww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 03451000 SWANNANOA RIVER AT BILTMORE, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		87915	
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	03451000	00060	87915	4	10	2010	2010	1	2010	186	2010	186	186					186				
USGS	03451000	00060	87915	4	11	2010	2010	1	2010	168	2010	168	168					168				
USGS	03451000	00060	87915	4	12	2010	2010	1	2010	164	2010	164	164					164				
USGS	03451000	00060	87915	4	13	2010	2010	1	2010	159	2010	159	159					159				
USGS	03451000	00060	87915	4	14	2010	2010	1	2010	155	2010	155	155					155				
USGS	03451000	00060	87915	4	15	2010	2010	1	2010	152	2010	152	152					152				
USGS	03451000	00060	87915	4	16	2010	2010	1	2010	150	2010	150	150					150				
USGS	03451000	00060	87915	4	17	2010	2010	1	2010	147	2010	147	147					147				
USGS	03451000	00060	87915	4	18	2010	2010	1	2010	143	2010	143	143					143				
USGS	03451000	00060	87915	4	19	2010	2010	1	2010	141	2010	141	141					141				
USGS	03451000	00060	87915	4	20	2010	2010	1	2010	142	2010	142	142					142				
USGS	03451000	00060	87915	4	21	2010	2010	1	2010	146	2010	146	146					146				
USGS	03451000	00060	87915	4	22	2010	2010	1	2010	137	2010	137	137					137				
USGS	03451000	00060	87915	4	23	2010	2010	1	2010	178	2010	178	178					178				
USGS	03451000	00060	87915	4	24	2010	2010	1	2010	156	2010	156	156					156				
USGS	03451000	00060	87915	4	25	2010	2010	1	2010	232	2010	232	232					232				
USGS	03451000	00060	87915	4	26	2010	2010	1	2010	216	2010	216	216					216				
USGS	03451000	00060	87915	4	27	2010	2010	1	2010	373	2010	373	373					373				
USGS	03451000	00060	87915	4	28	2010	2010	1	2010	363	2010	363	363					363				
USGS	03451000	00060	87915	4	29	2010	2010	1	2010	234	2010	234	234					234				
USGS	03451000	00060	87915	4	30	2010	2010	1	2010	158	2010	158	158					158				
USGS	03451000	00060	87915	5	1	2010	2010	1	2010	139	2010	139	139					139				
USGS	03451000	00060	87915	5	2	2010	2010	1	2010	137	2010	137	137					137				
USGS	03451000	00060	87915	5	3	2010	2010	1	2010	246	2010	246	246					246				
USGS	03451000	00060	87915	5	4	2010	2010	1	2010	168	2010	168	168					168				
USGS	03451000	00060	87915	5	5	2010	2010	1	2010	240	2010	240	240					240				
USGS	03451000	00060	87915	5	6	2010	2010	1	2010	240	2010	240	240					240				
USGS	03451000	00060	87915	5	7	2010	2010	1	2010	232	2010	232	232					232				
USGS	03451000	00060	87915	5	8	2010	2010	1	2010	142	2010	142	142					142				
USGS	03451000	00060	87915	5	9	2010	2010	1	2010	122	2010	122	122					122				
USGS	03451000	00060	87915	5	10	2010	2010	1	2010	121	2010	121	121					121				
USGS	03451000	00060	87915	5	11	2010	2010	1	2010	128	2010	128	128					128				
USGS	03451000	00060	87915	5	12	2010	2010	1	2010	126	2010	126	126					126				
USGS	03451000	00060	87915	5	13	2010	2010	1	2010	119	2010	119	119					119				
USGS	03451000	00060	87915	5	14	2010	2010	1	2010	122	2010	122	122					122				
USGS	03451000	00060	87915	5	15	2010	2010	1	2010	169	2010	169	169					169				
USGS	03451000	00060	87915	5	16	2010	2010	1	2010	138	2010	138	138					138				
USGS	03451000	00060	87915	5	17	2010	2010	1	2010	188	2010	188	188					188				
USGS	03451000	00060	87915	5	18	2010	2010	1	2010	220	2010	220	220					220				
USGS	03451000	00060	87915	5	19	2010	2010	1	2010	200	2010	200	200					200				
USGS	03451000	00060	87915	5	20	2010	2010	1	2010	188	2010	188	188					188				
USGS	03451000	00060	87915	5	21	2010	2010	1	2010	245	2010	245	245					245				
USGS	03451000	00060	87915	5	22	2010	2010	1	2010	148	2010	148	148					148				
USGS	03451000	00060	87915	5	23	2010	2010	1	2010	123	2010	123	123					123				
USGS	03451000	00060	87915	5	24	2010	2010	1	2010	114	2010	114	114					114				
USGS	03451000	00060	87915	5	25	2010	2010	1	2010	138	2010	138	138					138				
USGS	03451000	00060	87915	5	26	2010	2010	1	2010	119	2010	119	119					119				
USGS	03451000	00060	87915	5	27	2010	2010	1	2010	115	2010	115	115					115				
USGS	03451000	00060	87915	5	28	2010	2010	1	2010	149	2010	149	149					149				
USGS	03451000	00060	87915	5	29	2010	2010	1	2010	151	2010	151	151					151				
USGS	03451000	00060	87915	5	30	2010	2010	1	2010	111	2010	111	111					111				
USGS	03451000	00060	87915	5	31	2010	2010	1	2010	170	2010	170	170					170				
USGS	03451000	00060	87915	6	1	2010	2010	1	2010	156	2010	156	156					156				
USGS	03451000	00060	87915	6	2	2010	2010	1	2010	265	2010	265	265					265				
USGS	03451000	00060	87915	6	3	2010	2010	1	2010	195	2010	195	195					195				
USGS	03451000	00060	87915	6	4	2010	2010	1	2010	172	2010	172	172					172				
USGS	03451000	00060	87915	6	5	2010	2010	1	2010	169	2010	169	169					169				
USGS	03451000	00060	87915	6	6	2010	2010	1	2010	161	2010	161	161					161				
USGS	03451000	00060	87915	6	7	2010	2010	1	2010	156	2010	156	156					156				
USGS	03451000	00060	87915	6	8	2010	2010	1	2010	147	2010	147	147					147				
USGS	03451000	00060	87915	6	9	2010	2010	1	2010	115	2010	115	115					115				
USGS	03451000	00060	87915	6	10	2010	2010	1	2010	130	2010	130	130					130				
USGS	03451000	00060	87915	6	11	2010	2010	1	2010	120	2010	120	120					120				
USGS	03451000	00060	87915	6	12	2010	2010	1	2010	122	2010	122	122					122				
USGS	03451000	00060	87915	6	13	2010	2010	1	2010	119	2010	119	119					119				
USGS	03451000	00060	87915	6	14	2010	2010	1	2010	115	2010	115	115					115				
USGS	03451000	00060	87915	6	15	2010	2010	1	2010	99	2010	99	99					99				
USGS	03451000	00060	87915	6	16	2010	2010	1	2010	107	2010	107	107					107				
USGS	03451000	00060	87915	6	17	2010	2010	1	2010	97	2010	97	97					97				
USGS	03451000	00060	87915	6	18	2010	2010	1	2010	83	2010	83	83					83				
USGS	03451000	00060	87915	6	19	2010	2010	1	2010	79	2010	79	79					79				
USGS	03451000	00060	87915	6	20	2010	2010	1	2010	77	2010	77	77					77				
USGS	03451000	00060	87915	6	21	2010	2010	1	2010	108	2010	108	108					108				
USGS	03451000	00060	87915	6	22	2010	2010	1	2010	89	2010	89	89					89				
USGS	03451000	00060	87915	6	23	2010	2010	1	2010	72	2010	72	72					72				
USGS	03451000	00060	87915	6	24	2010	2010	1	2010	68	2010	68	68					68				
USGS	03451000	00060	87915	6	25	2010	2010	1	2010	65	2010	65	65					65				
USGS	03451000	00060	87915	6	26	2010	2010	1	2010	66	2010	66	66					66				
USGS	03451000	00060	87915	6	27	2010	2010	1	2010	62	2010	62	62					62				
USGS	03451000	00060	87915	6	28	2010	2010	1	2010	63	2010	63	63					63				
USGS	03451000	00060	87915	6	29	2010	2010	1	2010	72	2010	72	72					72				
USGS	03451000	00060	87915	6	30	2010	2010	1	2010	60	2010	60	60					60				
USGS	03451000	00060	87915	7	1	2010	2010	1	2010	58	2010	58	58					58				
